俳(pái): 杂戏；滑稽戏; 字数: 5
俴(jiàn): 浅；薄; 字数: 2
俵(biào): 分给；散发; 字数: 4
俶(chù): 始; 字数: 1
俶(shū): 善; 字数: 1
俶(tì): 𠉃低; 字数: 2
俷(俷fèi): 背弃；败坏; 字数: 4
俷(俷fèi): 薄; 字数: 1
俷(俷fèi): 背弃；败坏; 字数: 4
俸(fèng): 俸禄，旧时官吏的薪水; 字数: 9
俸(běng): 密不见; 字数: 3
俺(yàn): 大; 字数: 1
俺(ǎn): 方言; 字数: 2
俽(xī): 州名; 字数: 2
俾(bǐ): 门役; 字数: 2
俿(chí): 《奚韻》直宜切; 字数: 5
倀(chāng): 狂; 字数: 1
倀(chéng): 独立貌; 字数: 3
倀(zhèng): 〔倀悙〕疏率; 字数: 4
倁(倁zhī): 佛经译音用字，无实义; 字数: 9
倃(jiù): 毁谤; 字数: 2
倄(yáo): 击刺; 字数: 2
倄(wèi): 痛呼声; 字数: 3
倅(cuì): 副; 字数: 1
倆(liǎng): 〔伎俩〕1.技能；技巧; 字数: 6
倆(liǎ): 数词; 字数: 2
倇(wǎn): 欢乐; 字数: 2
倈(lái): 见; 字数: 1
倈(liē): 声软小貌; 字数: 4
倉(cāng): 收藏谷物的地方; 字数: 7
倊(倊zòng): 困貌; 字数: 2
個(gè): 偏; 字数: 1
個(gě): 〔自个儿〕自己; 字数: 5
倌(guān): 古代主管车乘的小臣; 字数: 9
倍(bèi): 违背；背叛; 字数: 4
倍(péi): 传说中的河神名; 字数: 7
倏(shū): 奔走; 字数: 2
們(mèn): 〔們渾〕丰满；肥满; 字数: 6
們(men（旧读mén）): 用在人称代词或指人的名词后面，表示复数; 字数: 18
倒(dǎo): 仆；倒下; 字数: 3
倒(dào): 颠倒; 字数: 2
倓(tán): 安然不疑; 字数: 4
倓(dàn): 动; 字数: 1
倔(jué): 顽强，固执; 字数: 4
倔(juè): 性子直，态度生硬; 字数: 7
倕(chuí): 重; 字数: 1
倖(倖xìng): 侥幸; 字数: 2
倖(xìng): 侥幸; 字数: 2
倗(péng): 辅助; 字数: 2
倘(tǎng): 惊疑欲止貌; 字数: 5
候(hòu): 观察；守望; 字数: 4
倚(yā): 傲; 字数: 1
倚(yǐ): 依靠在物体或人身上; 字数: 9
倛(qī): 古代打鬼驱疫时用的面具; 字数: 11
倛(qì): 〔倛儗〕迟疑不前; 字数: 6
倜(tì): 〔倜儻〕卓异；洒脱不羁; 字数: 8
倜(diào): 〔倜𠍩〕痴貌; 字数: 4
倜(zhōu): 乖张; 字数: 2
倝(gàn): 日出时光辉闪耀; 字数: 7
倞(jìng): 强劲; 字数: 2
倞(liàng): 索求; 字数: 2
借(jiè): 暂时使用属于他人的人、财或物品; 字数: 14
倠(huī): 〔仳倠〕见“仳”; 字数: 4
倡(chāng): 古代歌舞乐人; 字数: 6
倡(chàng): 发歌；领唱; 字数: 4
倢(jié): 便捷；灵敏; 字数: 4
倥(kōng): 〔倥侗〕蒙昧无知貌; 字数: 7
倥(kǒng): 〔倥偬〕1.事务烦多，急迫; 字数: 8
倦(juàn): 疲劳；劳累; 字数: 4
倧(倧zōng): 传说中的上古神人; 字数: 8
倨(jù): 傲慢；不逊; 字数: 4
倩(qiàn): 古时男子的美称; 字数: 7
倩(qìng): 借；借助; 字数: 3
倪(ní): 弱小；小儿; 字数: 4
倪(nì): 〔俾倪〕见“俾”; 字数: 4
倫(lún): 辈；同类; 字数: 3
倬(zhuō): 大；显明; 字数: 3
倭(wō): 我国古代称*日本*为*倭*; 字数: 13
倭(wǒ): 〔倭墮〕发髻歪在一侧的发式; 字数: 11
倯(sōng): 庸贱；懒; 字数: 3
倰(lèng): 长; 字数: 1
倰(líng): 欺凌; 字数: 2
倱(倱hùn): 〔倱伅〕1.传说远古*帝鸿氏*之子，四凶之一; 字数: 17
倲(dōng): 〔儱倲〕见“儱”; 字数: 4
倲(dòng): 〔𢙱倲〕愚蠢的样子; 字数: 7
倳(zì): 树立；建立; 字数: 4
倴(bēn): 人名用字; 字数: 4
倴(bèn): 地名; 字数: 2
倵(倵wǔ): 人名用字; 字数: 4
倷(倷nǎi): 吴方言; 字数: 3
倻(倻yē): 〔伽倻琴〕*朝鲜*族乐器名; 字数: 11
值(zhí): 措置; 字数: 2
偃(yǎn): 仰；仰卧; 字数: 3
偄(nuò): 敬; 字数: 1
偅(zhòng): 〔儱偅〕见“儱”; 字数: 4
偆(chǔn): 富; 字数: 1
假(jiǎ): 借；贷; 字数: 2
假(jià): 休息日；假期; 字数: 5
假(xià): 嘉，美好; 字数: 3
假(gé): 假，伪; 字数: 2
假(yán): 货不好; 字数: 3
偈(jié): 快速奔驰; 字数: 4
偈(jié): 〔偈偈〕用力貌; 字数: 5
偈(jì): 梵语“偈陀”（gāthā）的略称，义为“颂”，佛家唱词; 字数: 19
偉(wěi): 奇异; 字数: 2
偊(偊yǔ): 〔偊偊〕也作“踽踽”; 字数: 6
偋(bìng): 隐僻；无人处; 字数: 5
偌(rè): 姓; 字数: 1
偌(ruò): 这么；那么; 字数: 4
偎(wēi): 隐；不明晰; 字数: 4
偏(piān): 倾斜；不平正; 字数: 5
偑(fēng): 地名; 字数: 2
偒(tǎng): 直; 字数: 1
偓(wò): 〔偓佺〕古代传说中的仙人; 字数: 10
偕(xié（旧读jiē）): 强壮; 字数: 2
偖(偖chě): 裂; 字数: 1
偗(shěng): 直貌; 字数: 2
偙(偙dì): 〔偙儶〕困劣貌; 字数: 5
做(zuò): 作；从事某种工作或活动; 字数: 10
偛(chā): 〔偛㑳〕小人; 字数: 4
停(tíng): 静止；止息; 字数: 4
偝(bèi): 裱糊; 字数: 2
偞(xiè): 迫于势，惧而自卑; 字数: 7
偞(yè): 轻; 字数: 1
偟(uáng): 闲暇; 字数: 2
偠(偠yǎo): 〔偠紹〕体态轻盈; 字数: 6
偠(偠yǎo): 〔偠㒟〕娇美; 字数: 4
偠(偠yǎo): 〔偠紹〕体态轻盈; 字数: 6
偡(zhàn): 齐整; 字数: 2
偢(qiào): 〔傻偢〕不仁; 字数: 4
偢(chǒu): 顾视；理睬; 字数: 4
偣(偣yān): 女性思想不纯正; 字数: 7
偤(偤yóu): 侍; 字数: 1
健(jiàn): 强壮有力; 字数: 4
健(jiàn): 难; 字数: 1
健(jiàn): 强壮有力; 字数: 4
偦(xǔ): 古时掌管捕捉盗贼的小官吏; 字数: 12
偦(xū): 疏; 字数: 1
偨(偨cī): 〔偨池〕也作“偨傂”、“柴池”; 字数: 8
偩(fù): 依照；摹仿; 字数: 4
偪(bī): 绑腿; 字数: 2
偪(fù): 〔偪陽〕古国名; 字数: 5
偫(zhì): 积储；储备; 字数: 4
偬(zǒng): 〔倥偬〕见“倥”; 字数: 4
偬(cōng): 志众; 字数: 2
偭(miǎn): 向；面向; 字数: 3
偮(偮jí): 人多的样子; 字数: 5
偯(ǐ): 哭的余声曲折悠长; 字数: 8
偰(xiè): xiè　㊀《廣韻》私列切，入薛心; 字数: 13
偰(xiè): 〔㒝偰〕净; 字数: 3
偰(xiè): 〔㒝偰〕净; 字数: 3
偱(偱xún): 述; 字数: 1
偲(cāi): 能力强; 字数: 3
