character,pinyin,similarity
𢣦,b?,0.2406330393477184
𢥃,zhù,0.2406330393477184
𢡒,zhì,0.2404236468968599
憼,jǐng,0.2387925651763645
悈,jiè,0.2368635400243222
恮,zhuān,0.23595185878221675
惔,tán,0.23587948818615925
㥂,è,0.23585791686163446
㤴,shè,0.23479646087637693
𢤐,liú,0.23410165539921815
慕,mù,0.2330367583052834
㤒,āo,0.23253848012106687
憍,iāo,0.2319859178259948
𢜼,chěng,0.23164544064478265
憃,chōng,0.23147319456759402
悉,xī,0.2310651020623395
𢟾,huì,0.23100422342789761
怴,xù,0.23046024423552355
怵,xù,0.23046024423552355
怚,qū,0.23036281953719576
𢡴,jī,0.2299741727160453
𢘹,chà,0.22992597328585748
憮,wú,0.22904975971885944
恌,yáo,0.22904110778635497
㥛,jí,0.22855709539775895
悄,qiào,0.22855709539775895
𢙂,uān,0.22855709539775895
慮,lǘ,0.22853002994503
㥼,yìn,0.22851385617287256
𢘟,qiáo,0.22779655423846298
𢡏,nuǒ,0.22731902449165495
㥖,cōng,0.22678835769658573
㤮,guàng,0.22661050203658858
悂,pī,0.22661050203658858
𢜣,xī,0.22659111958712894
𢛍,zhǐ,0.2262833180752159
𢜰,yàn,0.2262833180752159
𢜶,sào,0.2262833180752159
𢞐,ài,0.2262833180752159
㤅,xì,0.22608867823951342
急,jí,0.22602157473382847
憵,pī,0.22602157473382847
惌,yuān,0.2260127364473646
怀,fù,0.22590677545114574
𢗯,yuán,0.22590677545114574
𢛥,sī,0.22590677545114574
㥈,dié,0.2245851588668066
忱,dàn,0.2245851588668066
㤯,iǒng,0.22397043832079944
恂,shùn,0.2232520452495407
惌,wǎn,0.22228220425051284
怛,dàn,0.22173184393469314
𢠡,sào,0.22172403332384524
惎,jì,0.2207594638146282
惓,juàn,0.2202136005106922
慉,xù,0.21826345189773738
忇,è,0.21494042331865665
